sample;read1;read2
16;Carbapenemases_illumina/2018_adds/500440-16_S16_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/500440-16_S16_L001_R2_001.fastq.gz
22;Carbapenemases_illumina/2018_adds/604785-15-1_S22_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/604785-15-1_S22_L001_R2_001.fastq.gz
23;Carbapenemases_illumina/2018_adds/604785-15-2_S23_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/604785-15-2_S23_L001_R2_001.fastq.gz
19;Carbapenemases_illumina/2018_adds/705072-15_S19_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/705072-15_S19_L001_R2_001.fastq.gz
13;Carbapenemases_illumina/2018_adds/710113-15_S13_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/710113-15_S13_L001_R2_001.fastq.gz
18;Carbapenemases_illumina/2018_adds/800441-15_S18_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/800441-15_S18_L001_R2_001.fastq.gz
20;Carbapenemases_illumina/2018_adds/801555-15_S20_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/801555-15_S20_L001_R2_001.fastq.gz
24;Carbapenemases_illumina/2018_adds/802699-15_S24_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/802699-15_S24_L001_R2_001.fastq.gz
12;Carbapenemases_illumina/2018_adds/802700-15_S12_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/802700-15_S12_L001_R2_001.fastq.gz
12;Carbapenemases_illumina/2018_adds/808937-18-16_S12_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/808937-18-16_S12_L001_R2_001.fastq.gz
6;Carbapenemases_illumina/2751350-17_S6_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/2751350-17_S6_L001_R2_001_val_2.fq.gz
1;Carbapenemases_illumina/2763842-17_S1_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/2763842-17_S1_L001_R2_001_val_2.fq.gz
2;Carbapenemases_illumina/2765745-17_S2_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/2765745-17_S2_L001_R2_001_val_2.fq.gz
3;Carbapenemases_illumina/2765747-17_S3_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/2765747-17_S3_L001_R2_001_val_2.fq.gz
4;Carbapenemases_illumina/2766060-17_S4_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/2766060-17_S4_L001_R2_001_val_2.fq.gz
5;Carbapenemases_illumina/2766255-17_S5_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/2766255-17_S5_L001_R2_001_val_2.fq.gz
21;Carbapenemases_illumina/303987_S21_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/303987_S21_L001_R2_001_val_2.fq.gz
13;Carbapenemases_illumina/357664-14_S13_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/357664-14_S13_L001_R2_001_val_2.fq.gz
45;Carbapenemases_illumina/400161-1-16_S45_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400161-1-16_S45_L001_R2_001_val_2.fq.gz
46;Carbapenemases_illumina/400161-2-16_S46_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400161-2-16_S46_L001_R2_001_val_2.fq.gz
